index,time_sec,joint_1_rad,joint_1_deg,joint_1_pwm_us,joint_2_rad,joint_2_deg,joint_2_pwm_us,joint_3_rad,joint_3_deg,joint_3_pwm_us,joint_4_rad,joint_4_deg,joint_4_pwm_us
102,10.154125442,0.06150033224392426,3.523709476229192,1539,0.49999999999999994,28.647889756541158,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
103,10.254125442,-0.0239996792127668,-1.3750803285593918,1484,0.49999999999999994,28.647889756541158,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
104,10.354125442,-0.10649969066945664,-6.1019827948086585,1432,0.49999999999999994,28.647889756541158,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
105,10.454125442,-0.18599970212614614,-10.65699792251866,1381,0.4999999999999999,28.647889756541154,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
106,10.554125442,-0.2624997135828344,-15.040125711689342,1332,0.49999999999999994,28.647889756541158,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
107,10.654125442,-0.3359997250395228,-19.251366162320785,1285,0.4999999999999999,28.647889756541154,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
108,10.754125442,-0.4064997364962104,-23.290719274412936,1241,0.4999999999999999,28.647889756541154,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
109,10.854125442,-0.4739997479528979,-27.158185047965834,1198,0.4999999999999999,28.647889756541154,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
110,10.954125442,-0.5384997594095826,-30.853763482979325,1157,0.4999999999999999,28.647889756541154,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
111,11.054125442,-0.5999997708662663,-34.37745457945351,1117,0.4999999999999999,28.647889756541154,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
112,11.154125442,-0.6584997823229507,-37.72925833738849,1080,0.4999999999999999,28.647889756541154,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
113,11.254125442,-0.7139997937796361,-40.909174756784275,1045,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
114,11.354125442,-0.7664998052363217,-43.91720383764083,1011,0.4999999999999999,28.647889756541154,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
115,11.454125442,-0.8159998166930094,-46.75334557995826,980,0.4999999999999999,28.647889756541154,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
116,11.554125442,-0.8624998281496961,-49.41759998373638,950,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
117,11.654125442,-0.9059998396063835,-51.9099670489753,922,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
118,11.754125442,-0.94649985106307,-54.23044677567491,897,0.4999999999999999,28.647889756541154,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
119,11.854125442,-0.9839998625197568,-56.3790391638353,873,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
120,11.954125442,-1.0184998739764444,-58.35574421345649,851,0.4999999999999999,28.647889756541154,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
121,12.054125442,-1.0499998854331296,-60.16056192453829,831,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
122,12.154125442,-1.078499896889816,-61.793492297080924,813,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
123,12.254125442,-1.1039999083465006,-63.25453533108419,796,0.4999999999999999,28.647889756541154,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
124,12.354125442,-1.126499919803185,-64.54369102654822,782,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
125,12.454125442,-1.145999931259869,-65.66095938347296,770,0.4999999999999999,28.647889756541154,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
126,12.554125442,-1.1624999427165537,-66.60634040185849,759,0.4999999999999999,28.647889756541154,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
127,12.654125442,-1.1759999541732387,-67.3798340817048,750,0.4999999999999999,28.647889756541154,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
128,12.754125442,-1.1864999656299235,-67.98144042301185,744,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
129,12.854125442,-1.1939999770866083,-68.41115942577966,739,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
130,12.954125442,-1.1984999885432934,-68.66899109000823,736,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
131,13.054125442,-1.199999999999978,-68.75493541569753,735,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
132,13.054125823,-1.1999999999999997,-68.75493541569877,735,0.49999999999999994,28.647889756541158,1593,0.5000000000000002,28.647889756541176,2132,0.0,0.0,500
133,13.154125823,-1.1985,-68.66899174642916,736,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
134,13.254125822999999,-1.194,-68.4111607386203,739,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
135,13.354125823,-1.1864999999999999,-67.98144239227217,744,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
136,13.454125823,-1.176,-67.37983670738481,750,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
137,13.554125823,-1.1625,-66.6063436839582,759,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
138,13.654125823,-1.1460000000000004,-65.66096332199236,770,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
139,13.754125822999999,-1.1265000010668804,-64.54369568261498,782,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
140,13.854125823,-1.1040000061919497,-63.25454093721547,796,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
141,13.954125823,-1.0785000113170187,-61.793498853276695,813,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
142,14.054125823,-1.0500000179231224,-60.16056951565571,831,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
143,14.154125823,-1.0185000268040734,-58.355752969834626,851,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
144,14.254125822999999,-0.9840000358877848,-56.37904909709161,873,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
145,14.354125823,-0.946500045621852,-54.23045792307199,897,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
146,14.454125823,-0.9060000555126051,-51.90997941949057,922,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
147,14.554125823,-0.8625000656261933,-49.41761359013741,950,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
148,14.654125823,-0.8160000776194944,-46.753360529944615,980,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
149,14.754125822999999,-0.7665000900789181,-43.91722015791943,1011,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
150,14.854125823,-0.7140001026370306,-40.90919245300945,1045,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
151,14.954125823,-0.6585001169994109,-37.72927751293716,1080,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
152,15.054125823,-0.6000001319318213,-34.37747526698594,1117,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
153,15.154125823,-0.5385001481475826,-30.85378575602606,1157,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
154,15.254125822999999,-0.4740001657194818,-27.15820898422791,1198,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
155,15.354125823,-0.4065001842984415,-23.290744931590833,1241,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
156,15.454125823,-0.3360002037644988,-19.251393591241456,1285,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
